country,year,gs,gdppc,remit,aid,depint,inflat
Benin,1980 ,4.172430636,305.3487794,5.479604593,6.278589876,6.1875,9.596
Benin,1981 ,-3.251559257,326.8632461,4.802501921,6.292210485,6.25,0.795
Benin,1982 ,13.22154629,325.1686378,2.914546338,6.286586279,7.75,4.059
Benin,1983 ,8.192516441,302.5671104,4.002874975,7.753698782,7.5,-6.067
Benin,1984 ,7.516613337,317.6625126,4.001959399,7.138005176,7.25,10.265
Benin,1985 ,2.634223483,332.3022601,3.852703064,8.980477327,7.25,1.151
Benin,1986 ,4.137374042,330.3920364,3.803760374,10.07932009,6.083333333,0.414
Benin,1987 ,4.357862691,316.7298971,3.854656047,8.55728071,5.25,-1.339
Benin,1988 ,0.770432601,318.5683874,4.389256649,9.749753539,5.25,3.445
Benin,1989 ,4.514204637,300.5838403,6.079799958,17.83072596,6.416666667,-0.202
Benin,1990 ,9.688373731,317.5490629,5.155674053,13.61656739,7,1.112
Benin,1991 ,10.75654137,320.172515,5.938797815,13.37368833,7,2.1
Benin,1992 ,9.575207105,318.3973744,8.04020574,15.86961541,7.75,5.921
Benin,1993 ,9.685313355,325.3727392,4.787478501,12.62926644,3.5,0.440599215
Benin,1994 ,14.50608795,320.8686805,5.599355427,16.01175469,3.5,38.53086617
Benin,1995 ,15.89711153,329.5526909,4.615278905,12.90820874,3.5,14.46254822
Benin,1996 ,15.24389133,333.714699,3.651161393,12.18872539,3.5,4.914239725
Benin,1997 ,16.18785117,343.0641772,3.140554452,9.727542211,3.5,3.466295907
Benin,1998 ,15.79857523,346.9979857,3.679129003,8.356099995,3.5,5.753314584
Benin,1999 ,15.98443291,355.4397045,3.079595775,8.47284509,3.5,0.326722894
Benin,2000 ,18.54626736,361.9501493,3.690554698,10.31951585,3.5,4.165404422
Benin,2001 ,17.1104138,372.9213324,3.345085667,11.11884941,3.5,3.984295477
Benin,2002 ,14.39147419,377.2487984,2.715104976,7.801521691,3.5,2.489162356
Benin,2003 ,11.01824579,379.4800151,1.556206796,8.428468925,3.5,1.487242461
Benin,2004 ,13.47055777,378.9941491,1.555551248,9.721368573,3.5,0.873890831
